ID,name,project code,executing_agency_id,latitude,longitude,expected cost,timespan,goal,is approved
135,Uttar Khaishayir Community Park,prop3072,9,23.61931959,90.50365683,20000000,1,Extending recreational facilities to the neighborhood,False
136,Fazlul Rahman Memorial Government Primary School,prop7106,10,23.71440803,90.51711917,30000000,3,Extending education facilities to the neighborhood,False
137,Fazlul Rahman Memorial Community Park,prop5730,9,23.71440803,90.51711917,10000000,1,Extending recreational facilities to the neighborhood,False
138,No. 79 Barpa Government Primary School,prop7655,10,23.7469498,90.5417278,40000000,3,Extending education facilities to the neighborhood,False
139,No. 79 Barpa Community Park,prop2195,9,23.7469498,90.5417278,20000000,1,Extending recreational facilities to the neighborhood,False
140,No. 74 Mashabo General Hospital,prop1114,9,23.7488533,90.553965,250000000,5,Extending healthcare facilities to the neighborhood,False
141,No. 73 Kornogop Government Primary School,prop8384,10,23.7581847,90.5380161,30000000,3,Extending education facilities to the neighborhood,False
142,No. 73 Kornogop General Hospital,prop4513,9,23.7581847,90.5380161,190000000,5,Extending healthcare facilities to the neighborhood,False
143,No. 73 Kornogop Community Park,prop4527,9,23.7581847,90.5380161,10000000,1,Extending recreational facilities to the neighborhood,False
144,No. 56 Horgaon Government Primary School,prop5719,10,23.7764662,90.5933341,10000000,3,Extending education facilities to the neighborhood,False
145,No. 56 Horgaon General Hospital,prop5391,9,23.7764662,90.5933341,60000000,5,Extending healthcare facilities to the neighborhood,False
146,Aukhabo Government Primary School,prop8439,10,23.7772222,90.5621962,20000000,3,Extending education facilities to the neighborhood,False
147,Aukhabo General Hospital,prop9756,9,23.7772222,90.5621962,100000000,5,Extending healthcare facilities to the neighborhood,False
148,Aukhabo Community Park,prop2763,9,23.7772222,90.5621962,20000000,1,Extending recreational facilities to the neighborhood,False
149,No. 28 Kamshire Government Primary School,prop2863,10,23.7824021,90.4800507,50000000,3,Extending education facilities to the neighborhood,False
150,No. 28 Kamshire General Hospital,prop6579,9,23.7824021,90.4800507,230000000,5,Extending healthcare facilities to the neighborhood,False
151,No. 28 Kamshire Community Park,prop5951,9,23.7824021,90.4800507,10000000,1,Extending recreational facilities to the neighborhood,False
152,Masumabad General Hospital,prop3904,9,23.799557,90.5448202,250000000,5,Extending healthcare facilities to the neighborhood,False
153,Masumabad Community Park,prop8029,9,23.799557,90.5448202,10000000,1,Extending recreational facilities to the neighborhood,False
154,No. 26 Naora General Hospital,prop1397,9,23.8017158,90.492804,190000000,5,Extending healthcare facilities to the neighborhood,False
155,No. 26 Naora Community Park,prop9060,9,23.8017158,90.492804,20000000,1,Extending recreational facilities to the neighborhood,False
156,Kushabo General Hospital,prop6058,9,23.8066314,90.5701778,50000000,5,Extending healthcare facilities to the neighborhood,False
157,Jahangir Government Primary School,prop8947,10,23.8091655,90.5358279,50000000,3,Extending education facilities to the neighborhood,False
158,Atlashpur Government Primary School,prop4357,10,23.8114074,90.5474247,10000000,3,Extending education facilities to the neighborhood,False
159,Atlashpur Community Park,prop1518,9,23.8114074,90.5474247,10000000,1,Extending recreational facilities to the neighborhood,False
160,Kajigochh Government Primary School,prop7875,10,23.81165412,90.41992933,40000000,3,Extending education facilities to the neighborhood,False
161,Kajigochh Community Park,prop4964,9,23.81165412,90.41992933,10000000,1,Extending recreational facilities to the neighborhood,False
162,Harinda Government Primary School,prop6967,10,23.8178692,90.5385196,30000000,3,Extending education facilities to the neighborhood,False
163,Harinda General Hospital,prop9012,9,23.8178692,90.5385196,210000000,5,Extending healthcare facilities to the neighborhood,False
164,Kolatoli Government Primary School,prop3771,10,23.8243871,90.5735424,50000000,3,Extending education facilities to the neighborhood,False
165,Kolatoli General Hospital,prop6954,9,23.8243871,90.5735424,130000000,5,Extending healthcare facilities to the neighborhood,False
166,Kolatoli Community Park,prop1387,9,23.8243871,90.5735424,20000000,1,Extending recreational facilities to the neighborhood,False
167,Agarpara General Hospital,prop7523,9,23.82537587,90.52254964,220000000,5,Extending healthcare facilities to the neighborhood,False
168,Pitalganj Government Primary School,prop6974,10,23.8259202,90.5530399,20000000,3,Extending education facilities to the neighborhood,False
169,Pitalganj General Hospital,prop2489,9,23.8259202,90.5530399,100000000,5,Extending healthcare facilities to the neighborhood,False
170,Sonibariartek Government Primary School,prop5950,10,23.8284438,90.4916385,20000000,3,Extending education facilities to the neighborhood,False
171,Sonibariartek General Hospital,prop9689,9,23.8284438,90.4916385,180000000,5,Extending healthcare facilities to the neighborhood,False
172,Sonibariartek Community Park,prop5592,9,23.8284438,90.4916385,10000000,1,Extending recreational facilities to the neighborhood,False
173,Kanchan Government Primary School,prop1797,10,23.8316428,90.558248,10000000,3,Extending education facilities to the neighborhood,False
174,Kanchan Community Park,prop4003,9,23.8316428,90.558248,20000000,1,Extending recreational facilities to the neighborhood,False
175,Yusufganj General Hospital,prop9468,9,23.8346268,90.4883393,70000000,5,Extending healthcare facilities to the neighborhood,False
176,Yusufganj Community Park,prop1775,9,23.8346268,90.4883393,20000000,1,Extending recreational facilities to the neighborhood,False
177,Gutiabo Community Park,prop2772,9,23.8352253,90.5276705,20000000,1,Extending recreational facilities to the neighborhood,False
178,Kenduapara Community Park,prop7445,9,23.8353554,90.5554791,10000000,1,Extending recreational facilities to the neighborhood,False
179,Chowdhurypara Government Primary School,prop2499,10,23.8363742,90.5696117,20000000,3,Extending education facilities to the neighborhood,False
180,Chowdhurypara General Hospital,prop1516,9,23.8363742,90.5696117,170000000,5,Extending healthcare facilities to the neighborhood,False
